|Trinkflasche|,2015,00,00,﻿15.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch, Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch,Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kaffee, Tasse|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Flasche Wein|,2015,00,00,33.00,False,True,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,45.00,False,True,|Verwertung|,False,BMF
|1 Christstollen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 F. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,40.00,False,True,|Verwertung|,False,BMF
|1 Akkuladegerät|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch, Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|iPad-Tasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kaffee, Tasse|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,34.80,False,True,|Verwertung|,False,BMF
|CD-Box (2 CDs)|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Präsentkorb|,2015,00,00,100.00,False,True,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,65.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Kaffee, Tasse|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Buch|,2015,00,00,189.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch, Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,23.80,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,179.99,False,True,|Verwertung|,False,BMF
|Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Maßband|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|3 kl. Fl. Spirituosen|,2015,00,00,50.00,False,True,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,60.00,False,True,|Verwertung|,False,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,79.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,38.00,False,True,|Aufnahme Bestand BibliothekBestand Bibliothek|,False,BMF
|CD-Box (2 CDs)|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,26.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Tuch|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,39.80,False,True,|Verwertung|,False,BMF
|Keramikpfeife|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,11.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch, Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,39.80,False,True,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,39.80,False,True,|Verwertung|,False,BMF
|1 F. Wein|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Kugelschreiber|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Weihnachtsgebäck, Süßigkeiten|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,18.00,True,False,|Eigenbehalt|,True,BMF
|2 Drucke|,2015,00,00,40.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|DVD, Kleidungsstück|,2015,00,00,100.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,18.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,40.00,False,True,|Verwertung|,False,BMF
|Bild|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 F Wein|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Glasskulptur|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,18.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein|,2015,00,00,8.00,True,False,|Eigenbehalt|,True,BMF
|1 Taschenmesser|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,138.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,138.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,138.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Briefmarken|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 kl. Porzellanglocke|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein, Senf|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Tagungsteilnahme|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein, Senf|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Stickbild|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,138.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,9.20,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Erinnerungsbrett Bahn|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|gerahmtes Plakat|,2015,00,00,80.00–150.00,False,False,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Krawatte|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Tagungsteilnahme|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|kl. Holzfigur, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Holzfigur, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Holzfigur, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Festschrift, 1 Kugelschreiber, 1 Notizbuch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|3 Eintrittskarten|,2015,00,00,150.00,False,True,|Verwertung|,False,BMF
|1 Fl. Wein|,2015,00,00,00.00,True,False,|Verwertung 102|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Kugelschreiber, Duschgel, Notizblock|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,101.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Flasche Sekt, Konfekt|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|Eintrittskarte|,2015,00,00,30.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|kl. Schmuckkästchen|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,24.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|Miniatur-Wandschirm|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Computermouse|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Computermouse|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Stoffbild|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Trinkflasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,30.00,False,True,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Blumenstrauß|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Keramikpfeife|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Tagungsteilnahme, Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tagungsteilnahme, Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bild auf Leder|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,15.00,True,False,|Eigenbehalt|,True,BMF
|1 Flasche Wein|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 kl. Handgefertigte Skulptur|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|2 F. Wein|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Präsentkorb|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Halstuch|,2015,00,00,20.00,True,False,|Eigenbehalt|,True,BMF
|1 Münze|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Kugelschreiber|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|1 FI. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tagungsteilnahme|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Porzellanfigur,Krawatte|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 FI. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,32.90,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|Bewirtung|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Spirituose|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Briefmarken|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Münzen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Roll-on Eau de Toilette|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 FI. Sekt|,2015,00,00,50.00,False,True,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Fl. Wein, Wurst|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|diverse Kleinigkeiten|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|diverse Kleinigkeiten|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Briefbeschwerer, Stofftasche|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|Kaffeetassen|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch, 1 Fl. Wein|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Bewirtung|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Tee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Krawatte, Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|Krawatte, Kaffee|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|kl. Quarz-Uhr, gerahmtes Bild|,2015,00,00,00.00,False,False,|Eigenbehalt|,True,BMF
|Holzschnitt mit Zollemblem|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,False,False,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Bild|,2015,00,00,00.00,True,False,|Verwertung|,False,BMF
|1 Dose, 3 Medaillen, 1 Schachtel|,2015,00,00,00.00,True,False,|teilweise Verwertung|,False,BMF
|1 Buch|,2015,00,00,68.00,False,True,|Verwertung|,False,BMF
